               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037334,           0.0096299,           0.0090379,             0.49751,             0.40682,             0.49657,              0.2505,            0.041898,           0.0092756,            0.015951,           0.0056688,           0.0056688,           0.0056688
                  37,            0.035865,            0.011089,           0.0096186,             0.47144,             0.37216,             0.44351,             0.21971,            0.040167,           0.0091963,             0.01544,            0.005545,            0.005545,            0.005545
                  38,            0.034488,            0.010311,           0.0089363,             0.43275,             0.37619,             0.43396,             0.23199,            0.039697,           0.0091685,            0.015173,           0.0054212,           0.0054212,           0.0054212
                  39,            0.035531,             0.01123,            0.008869,             0.54237,             0.40436,             0.47171,             0.26199,            0.040438,           0.0094489,            0.014874,           0.0052975,           0.0052975,           0.0052975
                  40,            0.035011,            0.010817,           0.0078022,             0.51497,             0.41604,             0.47583,             0.26654,             0.04214,           0.0094451,            0.014061,           0.0051737,           0.0051737,           0.0051737
                  41,            0.033186,            0.011035,           0.0071868,             0.68706,             0.42331,             0.42638,             0.19513,             0.04443,           0.0093964,            0.013721,             0.00505,             0.00505,             0.00505
                  42,            0.034508,           0.0099126,           0.0078103,             0.64494,             0.37619,             0.42277,             0.24769,             0.04056,           0.0091911,            0.014075,           0.0049263,           0.0049263,           0.0049263
                  43,            0.032248,           0.0095852,           0.0073457,             0.48789,             0.40748,             0.46741,             0.25733,            0.045788,           0.0091272,            0.014231,           0.0048025,           0.0048025,           0.0048025
                  44,            0.033489,            0.009803,           0.0068592,             0.38061,             0.42799,             0.43536,             0.23341,            0.037972,           0.0089785,            0.014673,           0.0046788,           0.0046788,           0.0046788
                  45,            0.032792,            0.010182,           0.0067663,             0.60717,              0.3863,             0.50655,              0.2713,            0.038253,           0.0088491,            0.014899,            0.004555,            0.004555,            0.004555
                  46,            0.032815,           0.0096145,           0.0063334,             0.53722,             0.38438,             0.48244,             0.25984,             0.03989,           0.0087106,            0.014847,           0.0044313,           0.0044313,           0.0044313
                  47,            0.032239,           0.0095146,           0.0055791,              0.7556,             0.37619,             0.46594,             0.23869,            0.040833,           0.0087028,            0.014558,           0.0043075,           0.0043075,           0.0043075
                  48,            0.031375,           0.0093318,           0.0054958,             0.84162,             0.37619,             0.51888,             0.27024,            0.037472,           0.0084743,            0.014253,           0.0041837,           0.0041837,           0.0041837
                  49,            0.030935,           0.0098023,           0.0058298,              0.8302,             0.37619,             0.51901,             0.26686,            0.041356,           0.0087655,            0.014117,             0.00406,             0.00406,             0.00406
                  50,            0.029777,           0.0098725,           0.0049851,             0.46727,             0.44983,             0.50215,             0.26805,            0.039346,           0.0085466,            0.013732,           0.0039362,           0.0039362,           0.0039362
                  51,            0.028709,           0.0091687,           0.0049593,             0.74297,             0.37619,             0.47802,             0.24835,            0.035916,           0.0086818,            0.013672,           0.0038125,           0.0038125,           0.0038125
                  52,             0.02825,           0.0091549,           0.0045938,             0.85822,             0.37619,              0.5226,             0.29237,            0.037946,           0.0085211,            0.013701,           0.0036888,           0.0036888,           0.0036888
                  53,            0.028679,           0.0091223,           0.0044957,             0.49847,             0.42112,             0.49556,             0.25812,            0.037424,           0.0088554,            0.014281,            0.003565,            0.003565,            0.003565
                  54,            0.029216,           0.0091769,           0.0051729,             0.55122,             0.42619,             0.55212,             0.32776,            0.037646,           0.0087707,            0.014861,           0.0034413,           0.0034413,           0.0034413
                  55,             0.02717,           0.0085032,           0.0042811,             0.56385,             0.39694,             0.52876,             0.27769,            0.035119,           0.0088419,            0.015278,           0.0033175,           0.0033175,           0.0033175
                  56,            0.026086,           0.0089887,           0.0044599,             0.56558,             0.40615,             0.55168,             0.29345,            0.034057,           0.0088989,            0.015372,           0.0031938,           0.0031938,           0.0031938
                  57,             0.02719,           0.0083699,           0.0042691,             0.56747,             0.40398,              0.5486,             0.30457,            0.034253,           0.0090296,            0.015376,             0.00307,             0.00307,             0.00307
                  58,            0.025142,           0.0093791,           0.0037072,              0.5694,             0.40009,             0.53481,             0.31419,            0.032282,           0.0090572,            0.015295,           0.0029462,           0.0029462,           0.0029462
                  59,            0.025393,            0.009712,            0.003742,              0.5543,               0.409,             0.54258,             0.32832,             0.03285,           0.0088819,             0.01456,           0.0028225,           0.0028225,           0.0028225
                  60,            0.025815,           0.0080661,           0.0034642,              0.5558,             0.40546,             0.54158,             0.33672,            0.032137,           0.0088428,            0.014057,           0.0026987,           0.0026987,           0.0026987
                  61,            0.026279,           0.0095266,           0.0045043,             0.54721,             0.40966,             0.54392,             0.30908,            0.032403,           0.0087642,            0.013592,            0.002575,            0.002575,            0.002575
                  62,            0.025632,           0.0091976,           0.0040624,             0.55973,             0.40274,             0.54355,             0.29095,            0.030316,           0.0088523,            0.013544,           0.0024513,           0.0024513,           0.0024513
                  63,            0.024073,           0.0093578,           0.0038377,             0.56573,             0.39768,             0.54476,             0.30648,              0.0326,            0.008811,            0.013509,           0.0023275,           0.0023275,           0.0023275
                  64,            0.025173,           0.0083475,           0.0037327,             0.54579,             0.45045,              0.5638,             0.32429,            0.029313,           0.0088419,            0.013125,           0.0022038,           0.0022038,           0.0022038
                  65,            0.024181,            0.008417,           0.0034876,             0.48834,             0.60857,             0.58291,              0.3814,            0.029881,           0.0088752,            0.012922,             0.00208,             0.00208,             0.00208
                  66,            0.022322,           0.0086577,           0.0041502,             0.42686,             0.67064,             0.57904,             0.35681,            0.027705,            0.008855,            0.012784,           0.0019563,           0.0019563,           0.0019563
                  67,            0.021818,           0.0085828,           0.0033666,             0.43844,             0.70526,             0.58877,             0.33245,            0.028029,            0.008909,            0.012434,           0.0018325,           0.0018325,           0.0018325
                  68,            0.021729,           0.0089374,           0.0029466,             0.43498,             0.69459,             0.58928,             0.35057,            0.028726,           0.0089359,            0.012557,           0.0017087,           0.0017087,           0.0017087
                  69,            0.021787,           0.0086704,           0.0031502,             0.43731,               0.694,             0.58939,             0.34167,             0.02913,           0.0089294,            0.012697,            0.001585,            0.001585,            0.001585
                  70,            0.022465,           0.0089838,           0.0037837,             0.42901,             0.72319,             0.58868,             0.35268,            0.029562,           0.0089248,             0.01285,           0.0014612,           0.0014612,           0.0014612
                  71,            0.022312,           0.0086899,           0.0031676,             0.40178,             0.66845,              0.5841,              0.3586,            0.029383,           0.0088759,            0.012788,           0.0013375,           0.0013375,           0.0013375
                  72,            0.020675,           0.0081425,            0.003397,             0.39166,             0.64882,             0.58422,             0.35711,             0.02996,           0.0088946,            0.012932,           0.0012138,           0.0012138,           0.0012138
                  73,            0.020779,           0.0084285,           0.0029134,             0.55041,             0.44296,             0.59133,             0.37294,            0.030784,           0.0088669,            0.012963,             0.00109,             0.00109,             0.00109
                  74,            0.019981,           0.0079512,           0.0027748,             0.49744,             0.46022,             0.56722,             0.35219,            0.028641,           0.0088313,            0.012994,          0.00096625,          0.00096625,          0.00096625
                  75,            0.020034,           0.0083339,           0.0033467,             0.49136,             0.45999,             0.55444,             0.33278,            0.028469,           0.0088068,            0.012858,           0.0008425,           0.0008425,           0.0008425
                  76,            0.019185,           0.0080319,            0.003118,             0.49133,             0.45879,             0.54555,             0.33946,            0.027633,           0.0087878,            0.012945,          0.00071875,          0.00071875,          0.00071875
                  77,            0.019049,           0.0078216,           0.0032873,             0.49149,             0.45929,             0.54594,             0.34286,            0.028021,           0.0087561,            0.012939,            0.000595,            0.000595,            0.000595
                  78,             0.01952,           0.0076653,           0.0028699,             0.48836,             0.45171,             0.53659,             0.33855,            0.028034,           0.0087522,            0.012992,          0.00047125,          0.00047125,          0.00047125
                  79,            0.018967,           0.0079985,           0.0028333,             0.49049,             0.45799,             0.53058,             0.33607,            0.027967,           0.0087605,            0.012918,           0.0003475,           0.0003475,           0.0003475
